eventID	occurrenceID	basisOfRecord	occurrenceStatus	individualCount	organismID	scientificName	scientificNameAuthorship	scientificNameID	kingdom	taxonRank	sex	lifeStage	reproductiveCondition	associatedReferences	occurrenceRemarks
FKt241214_S0767	FKt241214_S0767_K011	MaterialSample	detected	1	FKt241214_S0767_K011	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K011; verbatim Sex/Stage: F3A. SourceData.xlsx, Morphometrics row 12. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K012	MaterialSample	detected	1	FKt241214_S0767_K012	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K012; verbatim Sex/Stage: F2A. SourceData.xlsx, Morphometrics row 13. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K013	MaterialSample	detected	1	FKt241214_S0767_K013	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K013; verbatim Sex/Stage: F3B. SourceData.xlsx, Morphometrics row 14. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K014	MaterialSample	detected	1	FKt241214_S0767_K014	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female		gravid	https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K014; verbatim Sex/Stage: F3D. SourceData.xlsx, Morphometrics row 15. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K015	MaterialSample	detected	1	FKt241214_S0767_K015	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K015; verbatim Sex/Stage: M3B. SourceData.xlsx, Morphometrics row 16. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K016	MaterialSample	detected	1	FKt241214_S0767_K016	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K016; verbatim Sex/Stage: M3B. SourceData.xlsx, Morphometrics row 17. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K017	MaterialSample	detected	1	FKt241214_S0767_K017	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K017; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 18. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K018	MaterialSample	detected	1	FKt241214_S0767_K018	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K018; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 19. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K019	MaterialSample	detected	1	FKt241214_S0767_K019	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K019; verbatim Sex/Stage: F3C. SourceData.xlsx, Morphometrics row 20. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K020	MaterialSample	detected	1	FKt241214_S0767_K020	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K020; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 21. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K021	MaterialSample	detected	1	FKt241214_S0767_K021	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K021; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 22. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K022	MaterialSample	detected	1	FKt241214_S0767_K022	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K022; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 23. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K023	MaterialSample	detected	1	FKt241214_S0767_K023	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K023; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 24. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K024	MaterialSample	detected	1	FKt241214_S0767_K024	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K024; verbatim Sex/Stage: F3A. SourceData.xlsx, Morphometrics row 25. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K025	MaterialSample	detected	1	FKt241214_S0767_K025	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K025; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 26. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K026	MaterialSample	detected	1	FKt241214_S0767_K026	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species				https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K026; verbatim Sex/Stage: --. SourceData.xlsx, Morphometrics row 27. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K027	MaterialSample	detected	1	FKt241214_S0767_K027	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K027; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 28. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K028	MaterialSample	detected	1	FKt241214_S0767_K028	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K028; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 29. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K029	MaterialSample	detected	1	FKt241214_S0767_K029	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K029; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 30. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K030	MaterialSample	detected	1	FKt241214_S0767_K030	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K030; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 31. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K031	MaterialSample	detected	1	FKt241214_S0767_K031	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K031; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 32. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K032	MaterialSample	detected	1	FKt241214_S0767_K032	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K032; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 33. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K033	MaterialSample	detected	1	FKt241214_S0767_K033	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K033; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 34. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K034	MaterialSample	detected	1	FKt241214_S0767_K034	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K034; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 35. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K035	MaterialSample	detected	1	FKt241214_S0767_K035	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K035; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 36. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0770	FKt241214_S0770_K036	MaterialSample	detected	1	FKt241214_S0770_K036	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female		gravid	https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K036; verbatim Sex/Stage: F3D. SourceData.xlsx, Morphometrics row 37. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0770	FKt241214_S0770_K037	MaterialSample	detected	1	FKt241214_S0770_K037	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female		gravid	https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K037; verbatim Sex/Stage: F3D. SourceData.xlsx, Morphometrics row 38. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0770	FKt241214_S0770_K038	MaterialSample	detected	1	FKt241214_S0770_K038	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female		gravid	https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K038; verbatim Sex/Stage: F3D. SourceData.xlsx, Morphometrics row 39. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0770	FKt241214_S0770_K039	MaterialSample	detected	1	FKt241214_S0770_K039	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female		gravid	https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K039; verbatim Sex/Stage: F3D. SourceData.xlsx, Morphometrics row 40. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
