eventID	occurrenceID	measurementID	measurementType	measurementTypeID	measurementValue	measurementValueID	measurementUnit	measurementUnitID	measurementAccuracy	measurementMethod	measurementRemarks
FKt241214_S0767	FKt241214_S0767_K002	FKt241214_S0767_K002:length	Length (total length) of biological entity specified elsewhere	http://vocab.nerc.ac.uk/collection/P01/current/TL01XX01/	29.8		mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/		Tip of rostrum to end of uropods; Standard Length 1 (Supplementary Methods p.1).	SourceData.xlsx; Morphometrics; row 3; Length (mm).
FKt241214_S0767	FKt241214_S0767_K002	FKt241214_S0767_K002:sex-stage	Sex and maturity stage code	http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/	M2A			http://vocab.nerc.ac.uk/collection/P06/current/XXXX/		Makarov and Denys (1980) staging, as stated in Supplementary Methods and Table S1.	SourceData.xlsx; Morphometrics; row 3; Sex/Stage; original sex-specific developmental stage code retained. P01 describes development stage; sex is also provided in the occurrence extension.
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:As	Arsenic concentration in dried krill tissue		4.34		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 2; column K003; element As. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Ba	Barium concentration in dried krill tissue		2.67		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 3; column K003; element Ba. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Cd	Cadmium concentration in dried krill tissue		0.08		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 4; column K003; element Cd. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Co	Cobalt concentration in dried krill tissue		0.06		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 5; column K003; element Co. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Cr	Chromium concentration in dried krill tissue		0.67		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 6; column K003; element Cr. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Cu	Copper concentration in dried krill tissue		46.8		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 7; column K003; element Cu. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Fe	Iron concentration in dried krill tissue		23		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 8; column K003; element Fe. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Mn	Manganese concentration in dried krill tissue		1.91		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 9; column K003; element Mn. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Mo	Molybdenum concentration in dried krill tissue		0.07		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 10; column K003; element Mo. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Ni	Nickel concentration in dried krill tissue		0.78		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 11; column K003; element Ni. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:P	Phosphorus concentration in dried krill tissue		6640		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 12; column K003; element P. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Pb	Lead concentration in dried krill tissue		0.05		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 13; column K003; element Pb. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:V	Vanadium concentration in dried krill tissue		0.11		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 14; column K003; element V. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:element:Zn	Zinc concentration in dried krill tissue		24.4		mg/kg			Dried, ground krill tissue; nitric acid/hydrogen peroxide digestion; HR-ICP-MS (Element2 ThermoFisher); reagent and digestion blank correction. Concentration as reported in Table S3; no phosphorus normalization applied by this script.	SourceData.xlsx; TraceMetals; row 15; column K003; element Zn. Units from Table S3; dry-tissue preparation from Methods. P01 mapping unresolved: no suitable krill/generic-biota dry-weight term verified. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row4:d13C	Carbon stable isotope delta 13C	http://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-23.55		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 4; δ13C; source repeat 1 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. Correction status of exported delta 13C is not explicit in Table S5.
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row4:d15N	Nitrogen stable isotope delta 15N	http://vocab.nerc.ac.uk/collection/P01/current/N15BTX01/	4.03		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 4; δ15N; source repeat 1 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row4:pctC	Carbon mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/CBDYXX01/	41.91		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 4; %C; source repeat 1 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row4:pctN	Nitrogen mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/NTDYXX01/	11.12		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 4; %N; source repeat 1 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row5:d13C	Carbon stable isotope delta 13C	http://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-23.64		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 5; δ13C; source repeat 2 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. Correction status of exported delta 13C is not explicit in Table S5.
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row5:d15N	Nitrogen stable isotope delta 15N	http://vocab.nerc.ac.uk/collection/P01/current/N15BTX01/	4.11		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 5; δ15N; source repeat 2 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row5:pctC	Carbon mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/CBDYXX01/	41.27		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 5; %C; source repeat 2 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row5:pctN	Nitrogen mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/NTDYXX01/	11.17		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 5; %N; source repeat 2 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row6:d13C	Carbon stable isotope delta 13C	http://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-23.8		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 6; δ13C; source repeat 3 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. Correction status of exported delta 13C is not explicit in Table S5.
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row6:d15N	Nitrogen stable isotope delta 15N	http://vocab.nerc.ac.uk/collection/P01/current/N15BTX01/	3.88		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 6; δ15N; source repeat 3 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row6:pctC	Carbon mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/CBDYXX01/	41.91		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 6; %C; source repeat 3 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:isotope:row6:pctN	Nitrogen mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/NTDYXX01/	11.26		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 6; %N; source repeat 3 of 3 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:length	Length (total length) of biological entity specified elsewhere	http://vocab.nerc.ac.uk/collection/P01/current/TL01XX01/	37.72		mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/		Tip of rostrum to end of uropods; Standard Length 1 (Supplementary Methods p.1).	SourceData.xlsx; Morphometrics; row 4; Length (mm).
FKt241214_S0767	FKt241214_S0767_K003	FKt241214_S0767_K003:sex-stage	Sex and maturity stage code	http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/	M3A			http://vocab.nerc.ac.uk/collection/P06/current/XXXX/		Makarov and Denys (1980) staging, as stated in Supplementary Methods and Table S1.	SourceData.xlsx; Morphometrics; row 4; Sex/Stage; original sex-specific developmental stage code retained. P01 describes development stage; sex is also provided in the occurrence extension.
FKt241214_S0767	FKt241214_S0767_K004	FKt241214_S0767_K004:isotope:row7:d13C	Carbon stable isotope delta 13C	http://vocab.nerc.ac.uk/collection/P01/current/C13BTX01/	-23.44		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 7; δ13C; source repeat 1 of 1 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. Correction status of exported delta 13C is not explicit in Table S5.
FKt241214_S0767	FKt241214_S0767_K004	FKt241214_S0767_K004:isotope:row7:d15N	Nitrogen stable isotope delta 15N	http://vocab.nerc.ac.uk/collection/P01/current/N15BTX01/	3.06		per mil	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 7; δ15N; source repeat 1 of 1 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K004	FKt241214_S0767_K004:isotope:row7:pctC	Carbon mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/CBDYXX01/	43.26		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 7; %C; source repeat 1 of 1 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K004	FKt241214_S0767_K004:isotope:row7:pctN	Nitrogen mass fraction in krill tissue	http://vocab.nerc.ac.uk/collection/P01/current/NTDYXX01/	9.44		%	http://vocab.nerc.ac.uk/collection/P06/current/UPCT/		Elemental analysis/continuous-flow isotope-ratio mass spectrometry; dried, ground bulk krill tissue; Thermo-Scientific Flash EA IsoLink / Delta-Q; Oregon State Stable Isotope Collaboratory. Delta 13C reference VPDB; delta 15N reference air (Supplementary Methods p.2).	SourceData.xlsx; StableIsotopes; row 7; %N; source repeat 1 of 1 for this krill. Repeat index assigned from source row order, not a laboratory replicate ID. Reported value retained without averaging or additional lipid correction. 
FKt241214_S0767	FKt241214_S0767_K004	FKt241214_S0767_K004:length	Length (total length) of biological entity specified elsewhere	http://vocab.nerc.ac.uk/collection/P01/current/TL01XX01/	29.62		mm	http://vocab.nerc.ac.uk/collection/P06/current/UXMM/		Tip of rostrum to end of uropods; Standard Length 1 (Supplementary Methods p.1).	SourceData.xlsx; Morphometrics; row 5; Length (mm).
FKt241214_S0767	FKt241214_S0767_K004	FKt241214_S0767_K004:sex-stage	Sex and maturity stage code	http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/	M2A			http://vocab.nerc.ac.uk/collection/P06/current/XXXX/		Makarov and Denys (1980) staging, as stated in Supplementary Methods and Table S1.	SourceData.xlsx; Morphometrics; row 5; Sex/Stage; original sex-specific developmental stage code retained. P01 describes development stage; sex is also provided in the occurrence extension.
